"Ano base","UF","Classe Substância Mineral","Substância Mineral","Quantidade (litros) Garrafão","Quantidade (litros) Garrafa Plástica","Quantidade (litros) Garrafa de Vidro","Quantidade (litros) Copo","Quantidade (litros) Outras Embalagens","Valor (R$) Garrafão","Valor (R$) Garrafa Plástica","Valor (R$) Garrafa de Vidro","Valor (R$) Copo","Valor (R$) Outras Embalagens","Quantidade (litros) Composição Produtos Industrializados","Valor (R$) Composição Produtos Industrializados","Unidade de Medida"
"2010","AC","Água","Água","38315345,00","1309740,00",",00",",00",",00","3023041,51","893805,05",",00",",00",",00",",00",",00","l"
"2010","AL","Água","Água","114247245,00","40200141,39",",00","6278109,20",",00","17827642,93","32721765,87",",00","3546006,93",",00",",00",",00","l"
"2010","AM","Água","Água","123936416,00","19768794,20",",00","297157,20","29610990,00","14123668,35","18215888,90",",00","348790,90","8729111,70","32588811,00","13404,47","l"
"2010","AP","Água","Água","9218676,00","1132581,00",",00","1981246,72","32586,00","608503,83","93490,15",",00","129542,90","2172,40",",00",",00","l"
"2010","BA","Água","Água","367148670,00","73497479,32",",00","9850320,00",",00","29279716,74","61025058,46",",00","5329528,41",",00","1086434191,00","24465852,29","l"
"2010","CE","Água","Água","201107722,48","56164705,36",",00","1523257,96","799808,00","27919926,27","53592698,54",",00","1931356,26","257740,80","78185,00","39055,00","l"
"2010","DF","Água","Água","58672428,00","3900725,00",",00","1290919,40","638755,00","8127135,75","3208126,53",",00","1408452,45","281052,20","2,10",",12","l"
"2010","ES","Água","Água","66745716,67","16758796,61","64564,32","247764,80",",00","3786662,78","10635748,13","108119,11","242661,73",",00",",00",",00","l"
"2010","GO","Água","Água","80797293,39","38222324,59",",00","5850920,60","3891171,00","26804397,17","23621309,44",",00","3323700,00","2723819,70",",00",",00","l"
"2010","MA","Água","Água","43095370,00","17778004,46",",00","1655888,00","385015,32","6707311,01","20792095,10",",00","1435540,50","629069,17",",00",",00","l"
"2010","MG","Água","Água","220207274,68","140812220,47","3509814,40","2986418,16","757788,00","19658343,28","126718345,33","5034615,22","3091596,60","370965,88","241904,80","17587,13","l"
"2010","MS","Água","Água","20260747,00","9003356,10",",00","798401,20","174815,00","3043678,23","9275840,33",",00","350747,27","87407,50",",00",",00","l"
"2010","MT","Água","Água","159402669,84","21163290,32",",00","2504238,00",",00","21521849,29","19742243,09",",00","2234500,39",",00",",00",",00","l"
"2010","PA","Água","Água","270897954,96","28291875,94",",00","1169020,00",",00","14684433,78","15382064,12",",00","627364,96",",00",",00",",00","l"
"2010","PB","Água","Água","67762407,00","9330406,00",",00","364628,00",",00","8638177,11","9379864,46",",00","442700,83",",00","9641896,00","36420573,56","l"
"2010","PE","Água","Água","901929156,60","18298231,80","245143,20","429324,10","83490,00","66703015,63","13920200,90","192432,62","352588,00","3733,74","490870000,00","63813,10","l"
"2010","PI","Água","Água","20427760,00","2768478,00",",00","548600,80",",00","1783898,46","2222977,25",",00","571057,28",",00",",00",",00","l"
"2010","PR","Água","Água","157382041,94","37947230,02","1243332,00","6446859,63","300608,07","26702157,81","28280935,23","1310559,58","3463810,12","238814,52","1724439,00","3406889,70","l"
"2010","RJ","Água","Água","349610393,60","81739463,44","566091,00","13461604,40","3947018,00","17786059,28","47432244,36","177646,00","3028518,18","154286,24",",00",",00","l"
"2010","RN","Água","Água","166521503,00","4695186,95",",00","827740,77",",00","7185919,51","5414780,58",",00","632429,89",",00",",00",",00","l"
"2010","RO","Água","Água","101158152,00","9050980,96",",00","890495,80",",00","10379235,84","7140167,02",",00","682219,56",",00",",00",",00","l"
"2010","RR","Água","Água","3306611,00","47968,00",",00",",00","869284,44","883438,05","397571,95",",00",",00","152124,80",",00",",00","l"
"2010","RS","Água","Água","154599773,81","129146424,11","354732,00","3025262,00","7815652,00","32301146,71","118968636,56","382352,24","3649167,44","347363,42",",00",",00","l"
"2010","SC","Água","Água","94522244,36","22145712,64","3048,00","669897,20","2246380,00","14167133,46","13012250,56","1983,92","633621,57","1030787,38",",00",",00","l"
"2010","SE","Água","Água","66678162,54","13904168,13",",00","2041772,55",",00","8501127,64","8819619,66",",00","2066515,35",",00",",00",",00","l"
"2010","SP","Água","Água","596796008,18","476075311,50","7041258,00","26409781,05","3861621,70","62748841,83","416518100,43","8062460,20","25610360,90","4068074,19","858270198,70","15375502,84","l"
"2010","TO","Água","Água","25281660,00","2294146,74",",00","217742,40","27050,00","1876461,14","1813996,55",",00","203162,08","13418,00",",00",",00","l"
"2011","AC","Água","Água","56025347,60","77196,00",",00",",00",",00","3618790,98","68881,84",",00",",00",",00",",00",",00","l"
"2011","AL","Água","Água","167394793,20","39507613,24",",00","5315412,80",",00","22259781,96","31933077,75",",00","2966630,43",",00",",00",",00","l"
"2011","AM","Água","Água","130172794,00","22907274,00",",00","498158,00","30678705,00","17204810,13","25373779,84",",00","587783,85","8455964,10","30500571,00","12545,56","l"
"2011","AP","Água","Água","7026590,00","1544881,20",",00","1084728,40",",00","650846,61","112704,34",",00","69284,32",",00",",00",",00","l"
"2011","BA","Água","Água","475569486,44","72131338,21",",00","8988940,40","31095,00","39770792,60","49321720,38",",00","3320677,91","27807,05","1241966097,32","27382287,60","l"
"2011","CE","Água","Água","247942109,67","61853496,54",",00","2109331,60","1241705,00","32832678,40","51023350,65",",00","2258795,17","565707,11",",00",",00","l"
"2011","DF","Água","Água","60820958,60","4217620,00",",00","851650,20","861493,00","9111563,85","2327032,38",",00","977056,81","470212,42",",00",",00","l"
"2011","ES","Água","Água","63924241,00","12813200,38","92093,00","476634,52",",00","3156197,26","10729400,73","181396,26","492942,70",",00",",00",",00","l"
"2011","GO","Água","Água","102471424,95","30854630,44",",00","1279188,32","6173588,00","23109433,20","14502039,20",",00","1134373,52","4929664,50","56198869,00","104413,14","l"
"2011","MA","Água","Água","52222510,00","14567992,20",",00","1333498,40","86059,92","8099235,73","15294737,22",",00","1678949,28","67104,00","84067561,40","62955,73","l"
"2011","MG","Água","Água","176946583,24","169953874,91","3369101,00","3486401,10","834965,00","16062433,29","139701238,19","6973569,04","3308667,39","610834,97","296413,45","20748,25","l"
"2011","MS","Água","Água","26081670,00","8032430,35",",00","381433,44","224620,00","2964484,53","8975055,77",",00","348279,61","117761,00","9033144,95","4373059,20","l"
"2011","MT","Água","Água","182522629,20","23465160,40",",00","2335858,40",",00","24051690,86","21631949,63",",00","2230249,81",",00",",00",",00","l"
"2011","PA","Água","Água","245205884,00","31353410,52",",00","1342101,80",",00","14761093,73","17131669,25",",00","962178,08",",00","859736000,00","116801,50","l"
"2011","PB","Água","Água","98066645,00","11268992,00",",00","559234,17",",00","9330769,10","10656772,62",",00","557140,26",",00","66362961,00","23147320,35","l"
"2011","PE","Água","Água","971119135,12","13497370,43","299673,60","551172,00",",00","69904529,33","8037885,30","246759,50","419383,39",",00","1174731272,49","149096,93","l"
"2011","PI","Água","Água","21504280,00","2991744,00",",00","509635,00",",00","1937646,39","2327788,07",",00","506595,53",",00",",00",",00","l"
